id;posicion;nac;id_acb;nombre;equipo;precio;equipo2
1;BASE;nacional;B7G;Llull, Sergio;RMB;863.060;RM
2;BASE;;BIP;Satoransky, Tomas;CAJ;835.806;CAJ
3;BASE;nacional;B4R;Llompart, Pedro;CAI;703.097;CAI
4;BASE;nacional;Y6K;Granger, Jayson;UNI;695.578;UNI
5;BASE;;B72;Huertas, Marcelinho;FCB;674.550;FCB
6;BASE;nacional;A56;Oliver, Albert;HGC;673.493;HGC
7;BASE;nacional;B68;Rodríguez, Sergio;RMB;666.483;RM
8;BASE;nacional;A1X;Úriz, Ricardo;CAN;651.994;CAN
9;BASE;nacional;A3K;Cabezas, Carlos;FUE;626.854;FUE
10;BASE;;148;Neto, Raulzinho;GBC;598.660;GBC
11;BASE;extra;H00;Hodge, Walter;LBO;551.709;LBO
12;BASE;nacional;BFW;Colom, Quino;EST;533.187;EST
13;BASE;nacional;B1R;Salgado, Javier;GBC;527.391;GBC
14;BASE;nacional;B86;San Miguel, Rodrigo;UCM;518.776;UCAM
15;BASE;extra;H16;Waters, Dominic;BXA;513.137;BXA
16;BASE;;BK4;Van Rossom, Sam;VBC;510.897;VBC
17;BASE;extra;H07;Lafayette, Oliver;VBC;501.072;VBC
18;BASE;;H23;Pullen, Jacob;FCB;480.714;FCB
19;BASE;nacional;AZF;Grimau, Roger;BBB;466.264;BB
20;BASE;;H26;Xanthopoulos, Vassilis;RNM;446.685;RNM
21;BASE;;BIC;Calloway, Earl;UNI;421.835;UNI
22;BASE;;H09;Tabu, Jonathan;CAI;403.355;CAI
23;BASE;nacional;Y79;Franch, Josep;CAJ;396.287;CAJ
24;BASE;nacional;A98;López, Raül;BBB;392.254;BB
25;BASE;;10A;Porta, Antonio;VAL;373.575;VAL
26;BASE;;H33;Cochran, Nik;JOV;365.469;FIATC
27;BASE;nacional;745;Luz, Rafa;RNM;322.199;RNM
28;BASE;nacional;YEF;Bellas, Tomás;HGC;303.442;HGC
29;BASE;nacional;Y84;Pérez, Daniel;FUE;288.209;FUE
30;BASE;;BJP;Heurtel, Thomas;LBO;279.633;LBO
31;BASE;nacional;B2Q;Sada, Víctor;FCB;276.023;FCB
32;BASE;nacional;727;Creus, Joan;BXA;270.822;BXA
34;BASE;;243;Draper, Dontaye;RMB;250.616;RM
35;BASE;nacional;117;Fernández, Jaime;EST;232.729;EST
36;BASE;nacional;BLP;Vives, Guillem;JOV;214.982;FIATC
