B7G,12-13,32,458,14.31,11-12,34,421,12.38,Total,9.7
BIP,12-13,33,450,13.64,11-12,34,131,3.85,Total,6.8
B4R,12-13,34,407,11.97,11-12,34,399,11.74,Total,7.9
Y6K,12-13,34,428,12.59,11-12,33,375,11.36,Total,7.9
B72,12-13,34,370,10.88,11-12,34,351,10.32,Total,9.3
A56,12-13,34,466,13.71,11-12,34,229,6.74,Total,10.2
B68,12-13,34,340,10.0,11-12,34,217,6.38,Total,8.1
A1X,12-13,34,422,12.41,11-12,34,229,6.74,Total,5.2
A3K,12-13,19,94,4.95,11-12,33,440,13.33,Total,8.3
148,12-13,34,296,8.71,11-12,34,164,4.82,Total,6.9
H00,12-13,0,0,0,11-12,0,0,0,Total,0
BFW,12-13,34,256,7.53,11-12,34,266,7.82,Total,6.4
B1R,12-13,34,262,7.71,11-12,34,338,9.94,Total,9.4
B86,12-13,33,178,5.39,11-12,28,86,3.07,Total,6.6
H16,12-13,0,0,0,11-12,0,0,0,Total,0
BK4,12-13,34,416,12.24,11-12,34,199,5.85,Total,8.5
H07,12-13,0,0,0,11-12,0,0,0,Total,0
H23,12-13,0,0,0,11-12,0,0,0,Total,0
AZF,12-13,32,264,8.25,11-12,32,125,3.91,Total,6.2
H26,12-13,0,0,0,11-12,0,0,0,Total,0
BIC,12-13,34,214,6.29,11-12,34,305,8.97,Total,8.1
H09,12-13,0,0,0,11-12,0,0,0,Total,0
Y79,12-13,34,179,5.26,11-12,32,173,5.41,Total,4.5
A98,12-13,26,140,5.38,11-12,33,224,6.79,Total,7.7
10A,12-13,0,0,0,11-12,0,0,0,Total,0
H33,12-13,0,0,0,11-12,0,0,0,Total,0
745,12-13,34,165,4.85,11-12,27,134,4.96,Total,4.7
YEF,12-13,33,169,5.12,11-12,34,205,6.03,Total,4.7
Y84,12-13,0,0,0,11-12,0,0,0,Total,0
BJP,12-13,34,192,5.65,11-12,34,112,3.29,Total,4.9
B2Q,12-13,34,183,5.38,11-12,34,203,5.97,Total,6.6
727,12-13,12,58,4.83,11-12,1,0,0.0,Total,4.5
243,12-13,0,0,0,11-12,0,0,0,Total,0
117,12-13,34,110,3.24,11-12,28,49,1.75,Total,2.4
BLP,12-13,0,0,0,11-12,0,0,0,Total,0
BA8,12-13,0,0,0,11-12,0,0,0,Total,0
773,12-13,15,-7,-0.47,11-12,4,2,0.5,Total,-0.4
T06,12-13,0,0,0,11-12,0,0,0,Total,0
263,12-13,0,0,0,11-12,0,0,0,Total,0
YCL,12-13,16,35,2.19,11-12,18,38,2.11,Total,1.4
BI1,12-13,9,-12,-1.33,11-12,5,-3,-0.6,Total,-1.1
8D9,12-13,0,0,0,11-12,0,0,0,Total,0
Y9M,12-13,0,0,0,11-12,0,0,0,Total,0
BH7,12-13,10,17,1.7,11-12,10,7,0.7,Total,1
81E,12-13,0,0,0,11-12,0,0,0,Total,0
S6P,12-13,0,0,0,11-12,0,0,0,Total,0
B0X,12-13,30,398,13.27,11-12,9,176,19.56,Total,16.4
A62,12-13,19,245,12.89,11-12,28,364,13.0,Total,12.5
213,12-13,0,0,0,11-12,0,0,0,Total,0
BIE,12-13,33,428,12.97,11-12,13,137,10.54,Total,11.3
A46,12-13,33,422,12.79,11-12,34,345,10.15,Total,9.4
B79,12-13,34,258,7.59,11-12,32,268,8.38,Total,9.7
B5E,12-13,34,372,10.94,11-12,33,228,6.91,Total,9.1
A8T,12-13,33,410,12.42,11-12,27,317,11.74,Total,10.2
BBG,12-13,0,0,0,11-12,0,0,0,Total,0
H11,12-13,0,0,0,11-12,0,0,0,Total,0
245,12-13,0,0,0,11-12,0,0,0,Total,0
BJV,12-13,5,16,3.2,11-12,34,337,9.91,Total,8.6
H41,12-13,0,0,0,11-12,0,0,0,Total,0
H21,12-13,0,0,0,11-12,0,0,0,Total,0
AF1,12-13,30,325,10.83,11-12,30,227,7.57,Total,7.1
H25,12-13,0,0,0,11-12,0,0,0,Total,0
225,12-13,0,0,0,11-12,0,0,0,Total,0
206,12-13,34,356,10.47,11-12,17,100,5.88,Total,8.8
H43,12-13,0,0,0,11-12,0,0,0,Total,0
BGO,12-13,15,157,10.47,11-12,34,313,9.21,Total,9.7
H10,12-13,0,0,0,11-12,0,0,0,Total,0
221,12-13,0,0,0,11-12,0,0,0,Total,0
H29,12-13,0,0,0,11-12,0,0,0,Total,0
A3W,12-13,33,290,8.79,11-12,30,349,11.63,Total,10
H39,12-13,0,0,0,11-12,0,0,0,Total,0
235,12-13,0,0,0,11-12,0,0,0,Total,0
BGZ,12-13,34,273,8.03,11-12,32,333,10.41,Total,11.9
Y1F,12-13,31,89,2.87,11-12,31,43,1.39,Total,3.3
125,12-13,32,442,13.81,11-12,34,261,7.68,Total,10.7
H22,12-13,0,0,0,11-12,0,0,0,Total,0
H01,12-13,0,0,0,11-12,0,0,0,Total,0
218,12-13,0,0,0,11-12,0,0,0,Total,0
241,12-13,0,0,0,11-12,0,0,0,Total,0
B8T,12-13,29,255,8.79,11-12,12,23,1.92,Total,7.9
H15,12-13,0,0,0,11-12,0,0,0,Total,0
T78,12-13,0,0,0,11-12,0,0,0,Total,0
